I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,-6.5597,,-6.5597,-6.5597,-6.5597,,,,,,
,-6.5334,,-6.5334,-6.5334,-6.5334,,,,,,
,-6.5071,,-6.5071,-6.5071,-6.5071,,,,,,
,-6.4808,,-6.4808,-6.4808,-6.4808,,,,,,
,-6.4737,,-6.4737,-6.4737,-6.4737,,,,,,
,-6.4545,,-6.4545,-6.4545,-6.4545,,,,,,
,-6.4282,,-6.4282,-6.4282,-6.4282,,,,,,
,-6.4019,,-6.4019,-6.4019,-6.4019,,,,,,
,-6.3947,,-6.3947,-6.3947,-6.3947,,,,,,
,-6.3756,,-6.3756,-6.3756,-6.3756,,,,,,
,-6.3684,,-6.3684,-6.3684,-6.3684,,,,,,
,-6.3684,,-6.3684,-6.3684,-6.3684,,,,,,
,-6.3493,,-6.3493,-6.3493,-6.3493,,,,,,
,-6.3421,,-6.3421,-6.3421,-6.3421,,,,,,
,-6.3421,,-6.3421,-6.3421,-6.3421,,,,,,
,-6.3231,,-6.3231,-6.3231,-6.3231,,,,,,
,-6.2968,,-6.2968,-6.2968,-6.2968,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2895,,-6.2895,-6.2895,-6.2895,,,,,,
,-6.2709,,-6.2709,-6.2709,-6.2709,,,,,,
,-6.2632,,-6.2632,-6.2632,-6.2632,,,,,,
,-6.2446,,-6.2446,-6.2446,-6.2446,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2368,,-6.2368,-6.2368,-6.2368,,,,,,
,-6.2185,,-6.2185,-6.2185,-6.2185,,,,,,
,-6.2105,,-6.2105,-6.2105,-6.2105,,,,,,
,-6.1922,,-6.1922,-6.1922,-6.1922,,,,,,
,-6.1842,,-6.1842,-6.1842,-6.1842,,,,,,
,-6.1659,,-6.1659,-6.1659,-6.1659,,,,,,
,-6.1396,,-6.1396,-6.1396,-6.1396,,,,,,
,-6.1133,,-6.1133,-6.1133,-6.1133,,,,,,
,-6.1053,,-6.1053,-6.1053,-6.1053,,,,,,
,-6.087,,-6.087,-6.087,-6.087,,,,,,
,-6.0789,,-6.0789,-6.0789,-6.0789,,,,,,
,-6.0789,,-6.0789,-6.0789,-6.0789,,,,,,
